date,trial,rep,morphology,F_roll_2p5m,B_roll_2p5m,F_rollrate_2p5m,B_rollrate_2p5m,F_roll_initial,B_roll_initial,F_rollrate_initial,B_rollrate_initial,F_pitch_2p5m,B_pitch_2p5m,F_pitchrate_2p5m,B_pitchrate_2p5m,F_pitch_initial,B_pitch_initial,F_pitchrate_initial,B_pitchrate_initial
0810,r180,1,With Tail,12.12,12.71,54.53,-24.16,175.42,178.52,58.21,-93.09,-34.63,-35.24,105.39,-288.21,-2.84,-2.84,8.52,8.54
0810,r180,2,With Tail,6.91,-360.59,8.91,167.65,177.19,-176.61,-40.7,-194.95,-9.08,-18.52,32.8,-190.07,1.65,1.65,-20.59,-21.12
0810,r180,3,With Tail,-324.4,-351.51,62.74,-120.85,-178.41,-172.99,7.41,-59.54,0.66,-15.72,103.33,-42.67,-0.8,-0.8,-32.67,-33.28
0816,r180,1,With Tail,-18.58,-19.96,-35.57,-149.16,177.5,178.28,-57.77,-57.77,-11.35,-10.65,93.18,-356.82,-2.33,-2.33,39.51,39.48
0816,r180,2,With Tail,-14.49,-19.31,7.6,-110.47,174.08,177.17,-95.44,20.53,-10.42,-10.58,-83.45,-51.44,-0.11,-0.11,34.56,177.0
0816,r180,3,With Tail,6.84,-347.85,186.75,193.61,179.91,-179.32,-30.47,-184.66,26.04,14.47,23.33,-11.63,0.89,0.68,31.59,42.63
0810,r45,1,With Tail,-6.36,-3.87,-71.58,-541.32,41.93,48.12,5.18,43.83,-9.16,-0.11,-188.74,354.37,1.47,1.47,2.11,2.2
0810,r45,2,With Tail,5.13,2.32,70.29,-74.63,44.45,49.09,68.84,222.36,-5.43,-1.49,43.72,63.32,1.08,0.93,31.65,227.11
0810,r45,3,With Tail,14.34,18.01,39.99,-90.11,47.54,49.09,57.27,365.4,-19.84,-7.21,-369.35,164.66,0.89,0.89,-3.14,270.51
0816,r45,1,With Tail,18.52,11.55,-60.25,285.74,47.41,43.53,11.96,11.94,-0.9,0.68,-3.89,51.57,1.45,1.29,-20.8,-21.56
0816,r45,2,With Tail,-2.03,-7.34,-41.27,-269.6,45.93,46.71,3.02,-227.39,15.58,1.04,-5.5,260.0,0.44,0.44,15.98,37.08
0816,r45,3,With Tail,-17.85,-22.67,-24.76,-163.57,46.6,51.24,51.82,16.05,10.01,-5.98,28.0,-169.02,1.1,0.95,-10.08,-8.97
0810,r90,1,With Tail,-6.81,-10.29,20.82,22.65,90.2,94.85,47.6,-107.71,-13.73,-5.83,22.69,-66.08,-0.6,-0.6,30.73,33.26
0810,r90,2,With Tail,-28.03,-38.73,313.71,-213.12,93.43,97.31,-7.83,-200.69,-26.76,-32.42,-174.66,-442.5,0.28,0.28,45.01,68.54
0810,r90,3,With Tail,-44.18,-52.9,73.16,-353.3,88.58,93.24,1.5,192.89,-7.8,-15.81,-202.97,-659.75,-1.48,-1.48,49.93,188.72
0816,r90,1,With Tail,-31.65,-27.72,-112.86,20.58,89.52,94.18,-50.63,218.81,30.96,5.45,103.19,213.18,1.51,1.51,23.93,211.08
0816,r90,2,With Tail,-8.99,-14.63,-6.73,-167.71,88.95,95.14,-23.23,-254.43,-9.12,7.3,-100.13,-176.42,0.09,0.09,7.67,7.45
0816,r180_p15,1,With Tail,360.29,373.01,-16.28,-88.35,179.45,179.45,-36.98,155.64,-21.43,-17.69,-110.68,128.55,-14.26,-14.26,17.51,18.08
0816,r180_p15,2,With Tail,353.1,-4.46,151.26,-160.76,179.03,-177.88,-43.26,149.73,1.82,5.63,-524.66,-271.03,-15.21,-15.21,-7.98,-7.97
0816,r180_p15,3,With Tail,-27.47,-25.49,71.41,105.18,175.91,179.78,-66.06,-104.16,-3.05,8.28,11.86,20.69,-10.53,-10.53,-30.78,219.86
0816,r180_p15,4,With Tail,360.76,361.29,18.03,-163.81,176.72,179.81,-38.53,-4.0,16.35,16.05,-159.67,115.39,-15.5,-15.5,-22.64,-24.37
0816,r180_p15,5,With Tail,345.17,353.94,-52.7,-76.15,177.94,177.16,-64.88,50.52,18.17,13.69,-331.86,395.24,-15.09,-15.09,-40.89,-40.61
0816,r180_p15,6,With Tail,5.06,392.44,-228.04,-189.67,-179.43,176.7,-87.53,-164.81,4.72,6.46,-443.17,-448.27,-14.01,-13.79,68.95,69.79
0816,r180_p30,1,With Tail,364.88,15.81,7.5,-129.15,179.37,-175.98,-14.9,-130.62,-5.96,-15.31,-99.84,13.09,-29.43,-29.21,66.4,66.66
0816,r180_p30,2,With Tail,366.89,25.95,143.18,-85.69,179.0,-176.34,-26.27,-57.65,-37.12,-44.29,-151.62,-76.22,-29.9,-30.12,-2.88,-3.34
0816,r180_p30,3,With Tail,721.13,362.15,-76.92,-68.81,175.79,178.11,-33.83,4.87,-14.25,-15.48,47.54,-30.58,-31.09,-31.09,-3.88,-36.96
