date,trial,rep,morphology,F_roll_2p5m,B_roll_2p5m,F_rollrate_2p5m,B_rollrate_2p5m,F_roll_initial,B_roll_initial,F_rollrate_initial,B_rollrate_initial,F_pitch_2p5m,B_pitch_2p5m,F_pitchrate_2p5m,B_pitchrate_2p5m,F_pitch_initial,B_pitch_initial,F_pitchrate_initial,B_pitchrate_initial
0810,r180,1,With Tail,14.89,12.99,68.66,107.63,175.42,178.52,58.21,-93.09,-30.9,-32.33,71.09,363.19,-2.84,-2.84,8.52,8.54
0810,r180,2,With Tail,7.96,-360.44,42.7,-55.15,177.19,-176.61,-40.7,-194.95,-8.77,-12.87,7.32,283.29,1.65,1.65,-20.59,-21.12
0810,r180,3,With Tail,-316.04,-347.1,265.34,28.01,-178.41,-172.99,7.41,-59.54,3.82,-4.13,-235.8,292.76,-0.8,-0.8,-32.67,-33.28
0816,r180,1,With Tail,-18.73,-19.71,-12.44,25.97,177.5,178.28,-57.77,-57.77,-10.09,-10.88,68.23,-34.09,-2.33,-2.33,39.51,39.48
0816,r180,2,With Tail,-14.66,-17.0,-4.59,260.53,174.08,177.17,-95.44,20.53,-10.98,-13.99,-31.22,-370.15,-0.11,-0.11,34.56,177.0
0816,r180,3,With Tail,12.65,-342.92,334.2,360.0,179.91,-179.32,-30.47,-184.66,21.77,17.43,-226.66,40.29,0.89,0.68,31.59,42.63
0810,r45,1,With Tail,-9.14,1.01,-151.7,242.28,41.93,48.12,5.18,43.83,-10.84,-5.36,-72.29,-259.92,1.47,1.47,2.11,2.2
0810,r45,2,With Tail,7.14,6.02,103.69,183.27,44.45,49.09,68.84,222.36,-4.45,-2.04,52.64,-31.33,1.08,0.93,31.65,227.11
0810,r45,3,With Tail,14.34,14.13,0.03,-193.59,47.54,49.09,57.27,365.4,-19.84,-7.21,0.05,-0.09,0.89,0.89,-3.14,270.51
0816,r45,1,With Tail,15.33,6.81,-152.8,-230.46,47.41,43.53,11.96,11.94,-2.6,-2.74,-26.54,-122.53,1.45,1.29,-20.8,-21.56
0816,r45,2,With Tail,-2.73,-2.6,-32.35,236.98,45.93,46.71,3.02,-227.39,14.91,8.76,-32.94,384.64,0.44,0.44,15.98,37.08
0816,r45,3,With Tail,-16.71,-21.45,61.06,-9.57,46.6,51.24,51.82,16.05,12.64,2.52,92.85,577.79,1.1,0.95,-10.08,-8.97
0810,r90,1,With Tail,-7.94,-8.25,-56.77,107.88,90.2,94.85,47.6,-107.71,-12.96,3.67,38.72,415.54,-0.6,-0.6,30.73,33.26
0810,r90,2,With Tail,-24.49,-37.23,328.55,333.96,93.43,97.31,-7.83,-200.69,-25.31,-33.53,-73.57,-289.44,0.28,0.28,45.01,68.54
0810,r90,3,With Tail,-44.91,-49.23,24.84,226.61,88.58,93.24,1.5,192.89,-15.02,-16.52,-469.08,-137.76,-1.48,-1.48,49.93,188.72
0816,r90,1,With Tail,-35.15,-30.86,-172.08,-180.84,89.52,94.18,-50.63,218.81,32.47,5.69,64.59,-112.88,1.51,1.51,23.93,211.08
0816,r90,2,With Tail,-9.14,-10.76,-23.16,200.94,88.95,95.14,-23.23,-254.43,-11.21,-4.98,-88.67,-493.39,0.09,0.09,7.67,7.45
0816,r180_p15,1,With Tail,357.07,361.59,-53.04,-229.86,179.45,179.45,-36.98,155.64,-23.38,-22.02,-103.17,-94.55,-14.26,-14.26,17.51,18.08
0816,r180_p15,2,With Tail,355.36,-1.1,104.79,146.28,179.03,-177.88,-43.26,149.73,-8.72,4.58,-508.79,-63.1,-15.21,-15.21,-7.98,-7.98
0816,r180_p15,3,With Tail,-26.27,-28.86,15.17,-123.12,175.91,179.78,-66.06,-104.16,-3.27,3.88,-107.03,178.82,-10.53,-10.53,-30.78,219.86
0816,r180_p15,4,With Tail,356.57,361.8,-114.18,267.87,176.72,179.81,-38.53,-4.0,8.0,8.64,-245.8,-334.38,-15.5,-15.5,-22.64,-24.37
0816,r180_p15,5,With Tail,344.21,356.35,-48.44,116.45,177.94,177.16,-64.88,50.52,10.42,7.54,-371.87,-305.6,-15.09,-15.09,-40.89,-40.61
0816,r180_p15,6,With Tail,2.31,380.53,-128.28,-544.58,-179.43,176.7,-87.53,-164.81,-0.3,4.15,-265.5,-338.81,-14.01,-13.79,68.95,69.79
0816,r180_p30,1,With Tail,364.64,15.05,-10.78,-112.46,179.37,-175.98,-14.9,-130.62,-8.23,-17.29,-111.68,-162.15,-29.43,-29.21,66.4,66.66
0816,r180_p30,2,With Tail,365.7,25.17,78.74,-135.25,179.0,-176.34,-26.27,-57.65,-32.79,-34.58,170.75,316.98,-29.9,-30.12,-2.88,-3.34
0816,r180_p30,3,With Tail,716.9,359.84,-121.34,-100.25,175.79,178.11,-33.83,4.87,-13.47,-17.23,32.6,-86.44,-31.09,-31.09,-3.88,-36.96
0816,r180_p30,4,With Tail,358.92,8.12,-146.35,-244.94,179.91,-176.22,-33.74,-266.43,-8.67,-29.5,313.42,217.4,-28.64,-28.64,1.11,0.51
0816,r180_p30,5,With Tail,374.37,377.47,-233.09,21.69,178.92,174.27,-26.4,204.96,0.87,6.7,66.37,226.71,-27.87,-27.87,-69.44,-243.6
0816,r180_p30,6,With Tail,372.53,380.87,-91.58,226.48,175.53,178.62,-32.62,353.1,-2.1,3.84,-74.43,17.09,-27.46,-27.46,-48.69,-181.15
0817,r180_p45,1,With Tail,344.77,-4.4,-175.23,-159.28,179.97,-175.38,15.68,-16.18,2.76,-2.0,-438.23,-405.15,-42.47,-42.47,-18.83,-19.1
0817,r180_p45,2,With Tail,347.21,-4.38,-71.35,-156.7,179.63,-179.6,-44.27,187.28,-4.27,0.15,-495.12,-357.5,-42.45,-42.45,-0.94,-0.75
0817,r180_p45,3,With Tail,-12.32,-11.2,63.4,9.04,-172.37,-172.37,102.42,-129.04,4.9,10.5,-415.79,-418.21,-39.65,-39.65,-6.17,-345.41
0817,r180_p45,4,With Tail,341.19,-16.86,-40.09,-232.72,179.17,-175.41,-23.09,-62.15,28.2,24.3,-107.3,278.01,-43.54,-43.54,-9.01,-9.09
0817,r180_p45,5,With Tail,351.59,-9.7,27.46,77.47,178.07,-178.84,-26.03,282.37,13.37,-42.48,-207.64,478.03,-45.61,-45.61,-20.8,-22.56
0817,r180_p45,6,With Tail,-10.19,-10.18,-26.74,-102.43,-179.7,-174.28,51.85,-102.38,8.05,-12.01,-424.56,-421.52,-42.96,-42.96,7.92,8.27
0816,r180,1,No Tail,57.06,35.87,-42.43,-25.74,175.06,178.93,-22.19,-127.28,48.45,-35.38,-6.16,13.74,0.6,0.81,73.94,74.0
0816,r180,2,No Tail,-27.71,-394.54,10.18,43.08,179.0,-178.68,-91.86,371.14,-9.24,2.73,-73.46,54.4,1.69,1.47,-34.51,-36.72
0816,r180,3,No Tail,-339.55,22.1,-180.58,-81.87,-179.41,179.81,79.1,-75.56,6.06,24.45,215.34,403.44,2.91,2.69,-39.08,-39.08
0817,r180,1,No Tail,-14.04,-382.52,-180.16,-161.76,178.82,-179.63,34.01,226.7,-25.78,7.79,408.63,529.38,-0.83,-0.83,-8.81,-8.61
0817,r180,3,No Tail,45.16,25.92,-32.56,-25.95,175.75,178.84,-32.76,275.62,36.63,-38.98,74.6,-512.09,-1.93,-1.93,-23.37,-13.97
0810,r45,1,No Tail,20.41,2.82,140.24,115.12,46.33,48.65,50.94,-26.35,-2.6,-19.26,-21.49,28.41,0.83,0.83,-29.34,80.58
0810,r45,2,No Tail,48.21,49.61,-314.09,-614.05,45.06,46.61,51.37,-25.8,14.67,-35.04,73.08,-169.54,1.34,1.34,-15.13,17.8
0810,r45,3,No Tail,22.71,-16.9,-96.48,-339.86,43.54,48.19,15.72,-138.36,-6.54,-28.01,191.61,46.62,1.24,1.24,-3.92,50.81
0816,r45,1,No Tail,31.08,44.74,543.87,-186.87,44.42,46.73,-141.28,-111.91,15.77,-47.27,-1.64,-83.23,1.48,1.32,20.87,22.59
0816,r45,2,No Tail,-2.88,-10.19,-81.13,-102.5,45.57,45.57,-8.97,-124.7,0.0,-17.23,82.63,-12.75,1.53,1.53,15.4,15.21
0816,r45,3,No Tail,-21.76,-14.52,-0.04,269.94,46.92,46.92,12.12,12.08,10.92,-1.48,0.05,0.17,0.67,0.67,8.89,41.95
0810,r90,1,No Tail,23.4,33.75,14.35,16.12,94.12,100.32,-0.84,-424.79,-8.22,-24.37,10.99,-33.23,-2.15,-2.15,-5.06,-4.05
0810,r90,2,No Tail,-2.44,-3.8,338.82,311.83,90.69,95.34,-30.5,-146.27,22.63,-12.53,274.18,283.03,-0.31,-0.31,25.93,61.64
0810,r90,3,No Tail,24.15,-13.69,596.44,439.09,94.47,95.25,-48.9,-126.07,38.06,-33.34,22.94,131.89,-0.19,-0.19,10.41,10.4
0816,r90,1,No Tail,-6.12,-6.74,170.93,105.14,88.93,92.03,-11.9,142.55,-11.72,7.29,-244.4,159.82,0.14,0.14,62.48,281.58
0816,r90,2,No Tail,27.97,14.1,84.31,-319.67,89.88,92.2,-59.14,-444.83,21.45,-15.37,-268.29,324.88,0.83,0.82,29.15,29.17
0816,r90,4,No Tail,3.71,5.9,-10.87,-29.04,85.92,89.79,-36.99,-152.89,-25.77,-42.91,3.03,-27.89,1.85,1.84,51.75,51.9
0817,r180_p15,1,No Tail,336.46,-17.06,98.76,98.78,179.5,-175.07,-64.43,-218.99,18.74,-33.46,-66.68,-125.96,-15.2,-15.2,-2.85,-200.24
0817,r180_p15,2,No Tail,347.22,-16.35,-167.64,-393.01,177.74,-177.61,2.43,79.76,26.3,19.72,-193.13,149.97,-16.55,-16.33,94.1,92.94
0817,r180_p15,3,No Tail,362.35,5.77,-72.73,-134.82,177.79,-176.01,18.08,18.22,-2.33,-2.56,-83.87,-35.8,-15.92,-15.7,49.57,48.15
0817,r180_p15,4,No Tail,358.4,-4.38,50.72,-118.82,179.67,-173.36,26.63,65.0,-11.16,-7.9,-73.07,-33.9,-13.76,-13.54,63.41,62.0
0817,r180_p15,5,No Tail,345.14,-8.34,103.71,213.35,178.95,-176.4,-73.15,119.42,-3.63,-7.82,-42.71,80.76,-15.37,-15.15,9.55,7.33
0817,r180_p15,6,No Tail,359.3,2.42,-25.04,9.91,176.94,-179.19,0.03,-77.2,0.66,0.84,-26.83,-31.73,-15.99,-15.99,-0.04,-0.09
0817,r180_p30,1,No Tail,361.76,12.33,-55.1,-181.86,178.13,-176.44,33.33,71.49,-8.68,-22.7,207.4,295.42,-30.57,-30.57,44.97,-0.21
0817,r180_p30,2,No Tail,354.92,9.52,-108.57,-201.23,178.24,-175.56,-9.19,-9.27,-1.31,-36.36,245.02,-65.32,-30.12,-30.12,-17.35,-51.16
0817,r180_p30,3,No Tail,367.78,17.87,65.74,70.93,178.88,-176.47,60.18,289.35,-16.04,-14.52,120.68,92.55,-31.63,-31.41,124.85,-77.95
0817,r180_p30,4,No Tail,3.53,-1.52,13.74,-219.88,-178.6,-172.41,43.27,-72.51,2.58,3.93,53.52,142.55,-29.9,-29.68,58.08,57.26
0817,r180_p30,5,No Tail,358.84,6.29,-135.01,-251.59,179.12,-174.68,24.97,-52.26,-1.04,-27.56,348.39,358.56,-28.29,-28.29,-15.42,-15.53
0817,r180_p30,6,No Tail,362.74,381.86,62.24,-154.43,179.03,179.8,-26.26,-26.23,-21.59,-34.06,99.38,143.23,-28.47,-28.47,-22.93,-45.04
0817,r180_p45,1,No Tail,360.78,8.88,22.79,-1.06,177.75,-176.05,25.22,-51.76,-23.06,-28.63,-29.39,84.99,-43.43,-43.43,-4.95,-4.9
0817,r180_p45,2,No Tail,344.67,342.28,-1.16,47.05,177.91,-174.34,32.25,-199.42,0.13,-67.16,-9.89,-23.42,-44.61,-44.83,-29.61,-227.66
0817,r180_p45,3,No Tail,340.4,-11.86,0.01,-154.1,179.81,-173.22,14.51,284.4,2.87,-2.04,0.02,0.57,-46.18,-46.18,-12.12,-24.79
0817,r180_p45,4,No Tail,-7.22,-0.89,-55.53,-165.51,-179.9,-172.93,8.85,122.35,3.93,-51.21,-63.91,-21.57,-45.01,-45.01,-41.74,-292.51
0817,r180_p45,5,No Tail,327.8,-28.51,-22.31,107.55,176.0,-178.58,2.99,2.83,23.75,-29.42,-21.8,461.12,-41.66,-41.88,-47.9,-49.77
0817,r180_p45,6,No Tail,-11.29,-9.26,94.44,-286.0,-179.21,-179.98,2.78,79.94,3.03,12.12,-134.16,100.68,-43.46,-43.24,10.04,10.09
