date,trial,rep,morphology,F_roll_2p5m,B_roll_2p5m,F_rollrate_2p5m,B_rollrate_2p5m,F_roll_initial,B_roll_initial,F_rollrate_initial,B_rollrate_initial,F_pitch_2p5m,B_pitch_2p5m,F_pitchrate_2p5m,B_pitchrate_2p5m,F_pitch_initial,B_pitch_initial,F_pitchrate_initial,B_pitchrate_initial
Apr20,r45,1,spine-only,-30.76,-36.08,-31.41,51.25,44.14,45.62,21.64,137.74,0.55,-34.27,159.23,44.44,-3.75,-2.67,-19.63,-249.49
Apr20,r45,2,spine-only,12.42,21.17,-182.12,769.91,43.75,44.53,50.68,-65.05,-6.8,-33.56,218.08,-399.82,-0.48,0.63,-2.7,-79.81
Apr20,r45,3,spine-only,15.35,12.1,-194.51,255.92,51.64,52.33,75.5,-194.54,-10.69,-55.78,220.94,-88.51,-4.25,-3.31,-3.27,-3.46
Apr20,r45,4,spine-only,-76.81,-70.19,-57.67,-32.98,52.23,54.03,-29.44,-144.77,14.24,-6.81,80.11,-33.7,-0.53,-4.65,38.65,462.45
Apr20,r45,5,spine-only,-9.03,-18.38,-109.16,-149.97,53.03,54.56,-41.06,229.06,1.8,-15.68,127.96,-241.93,-1.8,-1.35,6.35,-185.58
Apr20,r90,1,spine-only,8.27,-18.37,-91.61,123.9,86.49,88.04,15.69,361.51,-17.57,-53.01,214.45,75.15,-2.75,-2.75,22.79,144.14
Apr20,r90,2,spine-only,-16.55,17.06,92.77,289.9,80.39,82.85,1.39,345.97,-33.4,5.63,44.86,-354.89,-1.64,-2.12,46.72,589.74
Apr20,r90,3,spine-only,31.61,26.45,-73.44,90.0,80.27,81.8,-5.18,-313.92,-48.27,-18.33,-82.63,-4.03,-1.7,-1.58,-9.05,-48.79
Apr20,r90,4,spine-only,4.56,5.71,-99.93,-75.64,86.41,87.94,-23.42,246.81,5.13,-32.8,31.54,-497.42,-1.17,-1.14,32.55,-79.49
Apr20,r90,5,spine-only,1.38,-0.06,-0.92,-91.6,82.31,84.62,0.0,192.7,-18.1,-8.81,204.57,126.83,-0.63,-0.48,0.0,0.0
Apr20,r180,1,spine-only,55.87,50.47,-45.46,29.41,174.92,176.47,-24.74,322.11,3.23,-4.05,-79.47,390.95,1.49,-0.83,-25.67,-141.31
Apr20,r180,2,spine-only,66.7,64.46,46.68,1.26,172.72,173.48,-20.56,95.6,17.73,-31.46,-97.24,-168.33,0.47,-3.38,-44.47,-199.3
Apr20,r180,3,spine-only,32.59,31.18,71.81,-63.17,172.97,174.52,19.79,135.36,-18.84,8.26,-288.48,-202.44,1.03,-0.51,25.67,-167.92
Apr20,r180,5,spine-only,-22.08,-24.06,-92.08,-194.26,174.49,176.81,-62.1,168.73,-6.8,11.58,-229.72,136.73,0.62,-0.93,-2.24,-349.78
