Time,F_Q0,F_Q1,F_Q2,F_Q3,F_M1,F_M2,F_ACC,Cmd_F1,Cmd_F2,B_Q0,B_Q1,B_Q2,B_Q3,B_M1,B_M2,B_ACC,Cmd_B1,Cmd_B2
2.155,0.00988808938549865,0.9630827059920839,0.22375702269945913,0.1493543501205886,0.0135,-0.0811,2.0546,-6.0802672875610035,-1.5194141497666944,0.0036621097626624083,-0.9999079697627978,-0.00012200365675735238,0.013062391512806228,0.0,0.0406,9.8224,1.5409398774853704,6.0802672875610035
2.1751,0.013122683126078977,0.9619517717145334,0.2203926781697444,0.16094611362816516,0.027,0.0406,2.9469,-6.18797887946115,-1.5007995588056922,0.0039668849222979155,-0.9999099930218437,6.099823046623599e-05,0.012816628194880856,0.0,0.0541,9.8589,1.4778012694517706,6.18797887946115
2.1952,0.01489320119157346,0.9606449773090451,0.21722693450871944,0.17248733012345063,-0.2299,-0.2299,3.1128,6.276899955723755,-0.9378450879609068,0.9660268033313553,-0.04174902871469075,-0.05829043630235243,-0.2482971181517506,0.2569,0.284,1.135,1.301358181557505,-6.276899955723755
2.2153,0.012146042823481919,0.9585603796104359,0.21832376974732784,0.18261764385771428,-0.6897,-0.2569,2.1649,6.1619622507127065,-1.5557185802090878,0.9696814033165261,-0.03900161953780768,-0.04565472522189358,-0.2368807628331908,1.1224,0.8114,18.6513,1.5554689712747307,-6.1619622507127065
2.2354,0.008911164540571672,0.945879465231084,0.2556807210274045,0.19964968644001457,-0.7302,-0.2569,6.0039,4.431577992965629,-1.5680274090812167,0.9795386953391154,-0.05731116305832903,-0.029784565042091177,-0.1906102164300194,1.7309,0.906,2.8666,1.5707644000707348,-4.431577992965629
2.2555,0.018676956632913456,0.9316998366332249,0.29748430925428415,0.2075805180070038,-0.6897,-0.568,10.675,5.372856093228135,-1.5683564135055716,0.9874220169266388,-0.0720206365443455,-0.03491182381577858,-0.1363523118914086,1.8526,0.879,8.9368,1.5707951096470545,-5.372856093228135
2.2756,0.032592439386117514,0.922591130755307,0.3206734841806763,0.21197135393711106,-0.6085,-0.7843,5.6182,6.12605039726272,-1.5657664165246585,0.9933526911335343,-0.05896033779659393,-0.009033051752317374,-0.09845056404468573,1.6768,0.7978,8.2292,1.5707923008443423,-6.12605039726272
2.2957,0.048766415827336373,0.9011732048504579,0.3260460942953847,0.2814296287558134,-0.4192,-0.9872,21.4489,6.2342518443558745,-1.5577177923528696,0.9965764528451772,-0.022704873619882514,0.03845178596924564,-0.06957961270519385,1.4605,0.5815,4.3861,1.5707745117604985,-6.2342518443558745
2.3158,0.05438193907355502,0.8822010116319435,0.31921364237111155,0.34185761700208456,-0.2028,-1.2035,7.7774,6.246667875864851,-1.507072738783104,0.992823047025936,0.04120003939816714,0.09454538519917755,-0.06054852752350357,1.4334,0.3245,4.9871,1.5706461494765511,-6.246667875864851
2.3358,0.08538951674215739,0.8600612769478793,0.29218018988780464,0.4094312725750815,0.027,-1.4064,9.0038,6.207801910975695,-1.1535745248835865,0.9752997061961232,0.13415757313506663,0.16058608003241331,-0.07074135681543442,1.5551,-0.0135,6.6201,1.5698722307025852,-6.207801910975695
2.3559,0.12738377985969512,0.837976865292756,0.2430492120007854,0.47169399657890554,0.2705,-1.501,6.7835,6.114936526691116,-0.22017560776925627,0.9366511975551401,0.24517936052059594,0.22546525112536875,-0.10833760117432971,1.6092,-0.311,5.5829,1.5653135439006958,-6.114936526691116
2.376,0.17236236006628286,0.808163999510844,0.17279035847724333,0.5360090099469628,0.568,-1.5145,8.2518,6.095613462059342,0.4042792603339318,0.8724360151585759,0.36370758943201087,0.2789306851316449,-0.16961680852961544,1.5686,-0.6085,22.0852,1.4847694408469359,-6.095613462059342
2.3961,0.23614247899862048,0.7632368518634827,0.08233512100967821,0.5957576398320276,0.8925,-1.4605,34.4108,6.038207901241599,0.6448673502735756,0.8048122277599487,0.4567272642435982,0.2910778057177255,-0.24279867207870184,1.5281,-0.9331,43.2057,0.9650913169099922,-6.038207901241599
2.4162,0.34143837815983086,0.7536172849554571,-0.004578098928379849,0.5616581369001538,1.2982,-1.3387,16.2214,6.099027842636284,-0.0010477066354723785,0.7421834283879293,0.5460786363306025,0.23583854731012807,-0.3087750980443496,1.4605,-1.2847,15.2498,0.23843027406938022,-6.099027842636284
2.4363,0.5117226645509764,0.7074630662881477,-0.15918113992879757,0.4607572995775427,1.7985,-1.163,14.2294,6.203565112964624,0.08271565279895188,0.6733412662433454,0.6263441778635692,0.13891626123720657,-0.367432690970869,1.217,-1.7174,13.1923,0.5165083432628554,-6.203565112964624
2.4564,0.6307773724490655,0.6406040510990566,-0.23198741359566916,0.371386854984021,2.407,-0.9872,16.093,5.7396059574435085,-0.13607976198258354,0.5883168406530922,0.698912622711213,0.020385959827090183,-0.4061881995588082,0.595,-2.2312,20.5569,1.0118179034427346,-5.7396059574435085
2.4765,0.7387211865619843,0.5612890193044127,-0.2679487830268039,0.25970963595369245,3.0697,-0.8655,22.1873,5.7106827796484865,-0.25597274503513834,0.4182719144543782,0.795894031592714,-0.20086599846203096,-0.38891406083557434,0.2569,-2.9344,21.6002,-0.33148080526607204,-5.7106827796484865
2.4966,0.8482448337104869,0.44499537140428985,-0.25811125505021815,0.12585071127581238,3.597,-0.9195,28.4601,5.741411830333934,-0.8764259353209544,0.29291880755565763,0.8353578214287244,-0.3481578456596078,-0.3084833818274299,0.622,-3.5429,27.9159,0.34657058289016485,-5.741411830333934
2.5167,0.9210792028359231,0.3258050105844657,-0.21166935719542868,0.0256959219657662,4.0839,-0.8925,11.4382,5.9738170353321465,-1.038453685935703,0.19744244275324627,0.8523886913805281,-0.44487022544696553,-0.1911556515434166,0.2705,-4.0703,12.7764,-0.15984858784387224,-5.9738170353321465
