Time,F_Q0,F_Q1,F_Q2,F_Q3,F_M1,F_M2,F_ACC,Cmd_F1,Cmd_F2,B_Q0,B_Q1,B_Q2,B_Q3,B_M1,B_M2,B_ACC,Cmd_B1,Cmd_B2
3.9243,0.09130891537973017,0.9314571367748271,0.3345946899153514,-0.10998489807181792,0.0406,0.0135,2.985,2.4998744861037494,0.5145859518732521,0.9999959844831867,-0.0009159963217865997,0.0026249894592683654,-0.0005489977954812874,0.0,0.0,9.7073,1.0816470795367779,-2.4998744861037494
3.9444,0.09893919144256373,0.9301872014724184,0.3342330248909079,-0.11511338621496689,0.0406,0.0135,0.5711,4.495541546355801,-1.5398216931256463,0.07263069641714781,-0.9196614938254438,0.33471099257432596,0.1921355515323048,0.0541,-0.0135,1.6172,1.5707935179921844,-4.495541546355801
3.9644,0.10943442963043044,0.92753768995701,0.336665168899421,-0.11981028073834142,0.1217,0.1352,2.2664,2.7635555220487156,-1.5453539109475816,0.07263069641714781,-0.9196614938254438,0.33471099257432596,0.1921355515323048,0.0541,-0.0135,1.6172,1.5707847170770193,-2.7635555220487156
3.9845,0.11456181418865556,0.9258324168540737,0.33868049437139947,-0.12249673205556705,0.6356,0.0541,3.5753,2.1905929126333596,-1.4831027909442775,0.08685393474527162,-0.9195658966140834,0.33667362337156553,0.18304596998967798,0.7167,-0.5409,9.2931,1.4948366579012209,-2.1905929126333596
4.0046,0.11797769421581987,0.922703145473163,0.3422144110095248,-0.13262528378425317,1.0953,-0.027,12.4971,-3.5412058840448513,-1.4545617975716285,0.1079061135007967,-0.9209878283997522,0.335375920626496,0.16631500976337696,1.6092,-1.0683,18.42,1.5624353637615118,3.5412058840448513
4.0247,0.11456604220101232,0.9246465531802102,0.34144006664223053,-0.12378228693032746,1.2847,-0.0676,3.1297,-4.197638807179532,-1.4488760318680933,0.12890420288233687,-0.9167352193379407,0.33733629702675116,0.17083461830954177,1.7715,-1.2306,8.7662,1.5651200173938258,4.197638807179532
4.0448,0.11810421252442126,0.9296975447990665,0.33960348656082806,-0.0798958202555281,1.2576,-0.1758,2.8452,-2.430480768056853,-1.5135505868514776,0.14330853832561283,-0.9074554122355032,0.3505799779320727,0.18188187573427092,1.6362,-1.1494,5.0047,1.5648070231449305,2.430480768056853
4.0649,0.12500263335158715,0.9361157205590985,0.31714568110791214,-0.08648882200542973,0.7032,-0.2705,4.4477,-1.6255649836264325,-1.550962996337074,0.14532387137407446,-0.8964770377080047,0.3735930985712624,0.18878053387745078,1.5551,-0.5815,6.2343,1.5616766125221915,1.6255649836264325
4.0849,0.11779873611929847,0.9453799076388876,0.29113981932036487,-0.08728054541242102,0.311,-0.4057,4.8396,-0.3093262100268257,-1.5660184597546993,0.15173056165135396,-0.8807228465602637,0.39458565890828634,0.21355856805959453,1.5145,-0.2299,17.5673,1.5659122870121784,0.3093262100268257
4.105,0.09472724132714323,0.946230410616826,0.3079227844641614,-0.02929707463723452,0.1352,-0.595,15.2235,2.6157486459390427,-1.5686830772609996,0.17193635364275245,-0.8698137890535422,0.3768317750764938,0.2680665513656133,1.5551,-0.0541,10.8832,1.5707805974997084,-2.6157486459390427
