Time,F_Q0,F_Q1,F_Q2,F_Q3,F_M1,F_M2,F_ACC,Cmd_F1,Cmd_F2,B_Q0,B_Q1,B_Q2,B_Q3,B_M1,B_M2,B_ACC,Cmd_B1,Cmd_B2
5.8158,0.03906252864509764,0.9176154183689397,0.3738450593590524,-0.12921274867548285,0.027,0.027,2.3714,1.970456557882006,-0.1055371455771581,0.9999917212718072,-0.001586986861658359,0.003661969683297358,-0.0007929934349685251,0.0,0.0,9.7086,1.3073025443640764,-1.970456557882006
5.8359,0.0510253544548258,0.9172423717535838,0.37274458932289445,-0.13085990903682607,0.0135,0.027,1.6614,5.154973521773046,0.72567777463783,0.9822151258807645,-0.0008539792428341603,0.15105832831500282,-0.11150828963428448,0.0,0.027,1.129,1.017509380378451,-5.154973521773046
5.856,0.06402521077242965,0.9169196972913298,0.3716384188782382,-0.1305523907035232,0.2028,0.0,1.9124,5.562522181650591,-0.1044771034335763,0.9829137435746781,0.01544205881340119,0.1434335462882124,-0.11431943540274653,0.1893,-0.1082,1.3364,1.3146268719431475,-5.562522181650591
5.8761,0.07794077767286405,0.9157566384010722,0.3716981707438129,-0.13097894588757544,0.595,0.2569,1.3752,0.042820469450144394,-1.4626013399479814,0.9826549275503862,0.03576659698584732,0.1406234154705394,-0.11547769880975943,0.9601,-0.4462,9.8248,1.5510242282361997,-0.042820469450144394
5.8962,0.08941756422933769,0.9151057743635652,0.37579537128773616,-0.11560172945274015,1.2847,0.0,1.8738,-1.397119254184842,-1.5166823082488154,0.981944748390692,0.047424519109919995,0.14373957337680673,-0.11346524199325146,1.4064,-1.163,8.7908,1.5634567380544224,1.397119254184842
5.9163,0.11346367294483801,0.9114353728186673,0.3814689004289235,-0.10436969915790686,1.6768,-0.027,18.2112,-3.115026623030844,-1.4850139939364109,0.9834428239840703,0.06304796296477193,0.1315288365671053,-0.10754223110728849,1.7715,-1.5145,6.2472,1.5639842312037722,3.115026623030844
5.9364,0.135253785246983,0.9093615561355093,0.3800043966372883,-0.10180683835331743,1.2982,-0.0676,8.8341,-3.174984074739371,-1.5335774438161702,0.9823959472751732,0.07525400429564934,0.13122252003429477,-0.10961609302759634,1.812,-1.163,5.0406,1.5635409085090308,3.174984074739371
5.9565,0.14697317671234994,0.9132090979916831,0.36993444478854254,-0.08715810479404379,0.622,-0.1352,2.1844,-2.198051781862344,-1.5405096625366195,0.9803180362947705,0.07647474053749863,0.13445602746802396,-0.12267737547080647,1.6362,-0.5274,6.2855,1.5656961964568539,2.198051781862344
5.9766,0.14709160966417992,0.920266788637471,0.35460582663893075,-0.07568225558872696,0.0135,-0.2299,2.4096,-1.8430099436189629,-1.5529103392574373,0.9755121858990001,0.07684199062149802,0.1539899772235041,-0.13696120090954594,1.501,0.0541,13.7526,1.570234659879215,1.8430099436189629
5.9966,0.13275174060749914,0.9206591362570264,0.3647480348895518,-0.04150423154758642,-0.2299,-0.4057,8.6693,4.784904027258889,-1.5575253893670844,0.9671795576125808,0.102113748134426,0.20965958926346778,-0.10089272723118119,1.5145,0.3922,7.9776,1.5707691750353452,-4.784904027258889
6.0168,0.11767643281265651,0.8965482974950127,0.4266985693927572,0.016785061735276854,-0.4598,-0.6626,8.5304,6.061405241081058,-1.5643118312267708,0.9607198634695824,0.12408746971067725,0.24310979779080932,-0.05017240291136969,1.6092,0.6356,11.2779,1.5707948287667834,-6.061405241081058
6.0369,0.107480882528061,0.8746167692476774,0.4702667353141095,0.04840004647470466,-0.3381,-1.0007,16.854,6.128781302513028,-1.5643800851326772,0.9510378620259234,0.13970721693473498,0.2753874852648979,0.013061833293499376,1.6227,0.5274,2.9263,1.570795952287868,-6.128781302513028
6.057,0.10284200904456414,0.8524004980722281,0.5062771987976475,0.08074843676197496,-0.2299,-1.2441,17.534,6.207348382964433,-1.5500760700673204,0.9348098058520046,0.16229127185871567,0.31030160779074184,0.0592037343746051,1.5416,0.4598,9.351,1.5707949223935405,-6.207348382964433
6.0771,0.11450429511331402,0.8339397154091645,0.5189314014121678,0.14880698267315487,-0.0676,-1.4605,10.2685,6.230584297027807,-1.4813007567508918,0.905498220849731,0.19951964181476434,0.364982027555436,0.08398216554485259,1.4875,0.311,6.251,1.5707698304226447,-6.230584297027807
6.0972,0.12664745397935975,0.8151824854685294,0.5142187830263435,0.23455698874432013,0.1082,-1.474,7.8128,6.167600828530677,-1.2156745313009745,0.8651201890337499,0.24725534046361825,0.4282270535012802,0.08398479498123998,1.5416,0.1217,3.1567,1.570658320954971,-6.167600828530677
6.1173,0.15826495802642912,0.7957198167365922,0.4920679786386978,0.3156759108833025,0.3516,-1.5416,8.6986,5.97677039775726,-0.31953630151240375,0.8095273028068622,0.3037178668338152,0.49879027727511865,0.0602433620573595,1.5686,-0.0541,9.4329,1.5692615033661972,-5.97677039775726
6.1374,0.20575380614174107,0.7665551801394719,0.4494713145559436,0.4099195829072825,0.622,-1.5416,29.1303,5.711952358474397,0.44914553001700996,0.7548131540488909,0.35509883845757445,0.5513855380968309,0.011657863376931343,1.5822,-0.2975,41.8313,1.5498518339841305,-5.711952358474397
6.1575,0.29900716956956763,0.7520043664503605,0.3920239779780277,0.43749439547938307,0.906,-1.4605,11.3068,5.492745155660238,0.5540016930799418,0.7121482188121547,0.42266219483442696,0.5554123715420555,-0.07562196135019414,1.6092,-0.5544,26.858,1.501134929849528,-5.492745155660238
6.1775,0.41351862301753234,0.7296849222402145,0.3264814394877427,0.43585792678691493,1.2306,-1.2982,10.091,5.672254987982432,0.668396269273209,0.672542833035874,0.4986546518649578,0.5192845547199746,-0.17138619295262983,1.5416,-0.8384,14.3413,0.8567885656656857,-5.672254987982432
6.1976,0.5089624418621237,0.691882006696231,0.2673899785090783,0.4367597978027004,1.6227,-1.1089,9.8794,5.9750933552845655,0.6162746281176434,0.6351773076874803,0.5625471020461127,0.45842367445754295,-0.2644584664465279,1.3928,-1.2711,11.3331,-1.2779536457046434,-5.9750933552845655
