Time,F_Q0,F_Q1,F_Q2,F_Q3,F_M1,F_M2,F_ACC,Cmd_F1,Cmd_F2,B_Q0,B_Q1,B_Q2,B_Q3,B_M1,B_M2,B_ACC,Cmd_B1,Cmd_B2
3.0149,0.048645659946239,-0.9432497964993452,-0.3042641277673489,-0.12384168008515242,0.0135,-0.027,2.6885,6.259161055821657,-1.133118950998256,0.999999810229054,0.000609999884239723,-6.099998842397218e-05,6.099998842401533e-05,0.0,0.0,9.6563,1.5567381755936136,-6.259161055821657
3.035,0.04052762891799532,-0.9449606641385743,-0.3031057036709676,-0.1163348053129309,0.0947,0.0,4.0092,-6.01737257722958,-1.5473559318940757,0.06860262742944331,0.9371152506189719,-0.33660226541305877,0.061705765418760654,0.0,0.0135,1.5121,1.513763774977333,6.01737257722958
3.0551,0.02526907624568643,-0.9464748558473755,-0.30157590996054007,-0.11224433868062952,0.5003,-0.0135,3.6848,-6.1807872209968515,-1.4264037376354084,0.06469769738767903,0.9376931075563167,-0.33465960735383554,0.06744472699838666,0.1352,-0.1082,5.5702,1.5375709058856093,6.1807872209968515
3.0752,0.01342829432024302,-0.9475307679009131,-0.29840754047176343,-0.1138334949931176,0.5139,-0.0811,10.5123,-0.6487636277691724,-1.4703707691301782,0.0659182852153921,0.937931058242317,-0.3330704411299708,0.07074030607932331,0.879,-0.5815,4.0095,0.9043226829781834,0.6487636277691724
3.0953,0.01843351866347859,-0.9496117192024799,-0.2883991146790678,-0.12134141418050044,0.0406,-0.1217,2.6892,-3.223145678577773,-1.5684265399466193,0.04321267451009514,0.9356619523334694,-0.34612739287203453,0.053527596815226224,1.6903,0.027,13.6439,1.5681194441834196,3.223145678577773
3.1153,0.035339328818700166,-0.9501428407093258,-0.2831446345506214,-0.12573316989820907,-0.1082,-0.2569,7.239,-2.896713181239704,-1.5701440291783684,0.04321267451009514,0.9356619523334694,-0.34612739287203453,0.053527596815226224,1.6903,0.027,13.6439,1.5701202479820715,2.896713181239704
3.1354,0.045713729099518305,-0.9388168996823594,-0.3021156007976129,-0.15893158149756184,-0.4598,-0.3922,4.0735,-0.02409004463562603,-1.5696228090217423,0.027832220756865898,0.9405594602368403,-0.33764867812851185,0.023804188807718986,1.2847,0.2299,5.3163,1.5695289950111553,0.02409004463562603
3.1555,0.05328537800590806,-0.9242179010733463,-0.3252034100411246,-0.19293698951722568,-0.6491,-0.568,8.4104,1.6842547290441905,-1.5703520678325846,0.01477149614036032,0.9491288790418766,-0.31440256005417105,-0.009338313652338044,1.3523,0.5409,14.0296,1.570788181267031,-1.6842547290441905
3.1756,0.07043367656456655,-0.9001910855801138,-0.3737109780415515,-0.21221501252013555,-0.595,-0.7843,18.7154,2.49664043066093,-1.570522749410729,0.011169038360982556,0.9628333069303285,-0.26586991315212394,-0.046265158901500444,1.5686,0.595,2.9942,1.57079557778084,-2.49664043066093
3.1957,0.07360811761195399,-0.8769544012085082,-0.4157716643250696,-0.22949236668572087,-0.5815,-1.0412,10.7693,3.9498668297964254,-1.5706106649356206,0.01641803995374287,0.9759543750112845,-0.20446849757960145,-0.0737301794243795,1.7039,0.5815,12.3157,1.5707960459146255,-3.9498668297964254
3.2158,0.07037192536840423,-0.8561147609188847,-0.42979732916409236,-0.27818979869894167,-0.4598,-1.2711,12.037,5.423628011053735,-1.5703667672334451,0.00317397802450599,-0.980157213740357,0.16229087635574238,0.11376921230247226,1.6633,0.5139,8.4311,1.57079557778084,-5.423628011053735
3.2359,0.06542926251151748,-0.8357445798723938,-0.4241282194222441,-0.34258613852698694,-0.2975,-1.474,7.4616,5.6113552765907215,-1.5674291341035196,0.07647661222150286,-0.9692330854550383,0.13018733987856482,0.19439601430526152,1.5416,0.311,1.4981,1.5707885557740595,-5.6113552765907215
3.2559,0.0206290715876373,-0.8090455888642183,-0.3816358244612976,-0.44651290466517113,-0.027,-1.5551,12.7906,5.195187711964055,-1.5433365352129276,0.15094025730883065,-0.9458636124198039,0.1341552286952839,0.2540894331478963,1.501,0.1217,7.5561,1.5707822827813356,-5.195187711964055
3.276,0.028136970477031897,0.7834461779620863,0.3246456593626367,0.5291744447589779,0.2028,-1.5686,22.5848,4.461738541982129,-1.3145157369825018,0.23919004332776103,-0.9054306661932406,0.1584423918157573,0.31285690077962225,1.5416,-0.0811,24.8074,1.5707197401076107,-4.461738541982129
3.2961,0.028136970477031897,0.7834461779620863,0.3246456593626367,0.5291744447589779,0.2028,-1.5686,22.5848,4.480495351987125,-1.2433434850582448,0.30725678987199107,-0.8658613160794079,0.20611988407281104,0.3367373453963874,1.5416,-0.311,26.1129,1.5707119690867737,-4.480495351987125
3.3162,0.1159051764661059,0.7988833237436446,0.2587871612555614,0.5304532310034091,0.5544,-1.4064,14.164,4.579965916729698,-0.9708598486667798,0.38629759935610225,-0.8252069613159445,0.2746619812057932,0.3071944527616442,1.5416,-0.568,10.4278,1.5705004662425455,-4.579965916729698
3.3363,0.21453873231943982,0.8101799891362225,0.1791377764893089,0.5152583571107455,0.906,-1.3117,7.9256,4.895094106672275,-0.48211413273164605,0.4515960413387125,-0.7835638664295838,0.3415507623076251,0.2557963241334901,1.5416,-0.9331,13.6968,1.5697385316934849,-4.895094106672275
3.3563,0.3129796360251863,0.7861729905465554,0.10033931856185957,0.5233620138290219,1.3117,-1.2035,8.8398,5.350011539009328,-0.37289908236641955,0.5296125731704652,-0.717665327450345,0.41632931158662756,0.17645652277304105,1.5416,-1.3658,6.66,1.56579899863612,-5.350011539009328
3.3764,0.42572149552413846,0.769899704593507,0.011047038807326992,0.47528266962841326,1.7444,-1.0683,9.3681,5.034106246983043,-1.1322726587410723,0.6077167679121229,-0.6320693578891423,0.4766159752476814,0.06329193435779887,1.5416,-1.8661,13.5123,1.539527985988708,-5.034106246983043
3.3965,0.5505346511145134,0.7258269032207596,-0.07311968803094648,0.405882268281629,2.2853,-0.9736,13.8749,4.619613477786901,-1.3902935827139418,0.6746315830653296,-0.5308915412542942,0.5058051849054396,-0.08477920427900734,1.5416,-2.3935,26.4153,1.3532425725106476,-4.619613477786901
3.4166,0.6810394829711325,0.6513150690806521,-0.12201069890874827,0.31158833863717805,2.7722,-1.0007,15.3064,5.015391007258188,-1.2163324465229273,0.7204610746776401,-0.4232802189000025,0.48761140415147025,-0.2529917285283005,1.5281,-2.975,23.0907,1.4704790952881117,-5.015391007258188
3.4367,0.8775519847281616,0.446771392003644,-0.11358457425544713,0.13189534441366646,3.5835,-1.163,22.4491,4.8250687825221625,-1.3416807915332047,0.7446340782374329,-0.3355732885345772,0.42090087044955155,-0.3946556914633161,1.4605,-3.3807,19.0225,1.123328401011122,-4.8250687825221625
3.4568,0.9182951453877413,0.37421561698372224,-0.10772948066392514,0.07135164299916509,3.8269,-1.2711,10.0935,4.186861243919333,-1.245288019175896,0.7523754253177714,-0.27783031070321784,0.35064486796751715,-0.48351806005618725,1.3928,-3.7052,11.2038,0.6660011095737652,-4.186861243919333
3.4768,0.944883709959183,0.3093255776807064,-0.10491885675527442,0.02246096933425046,4.0298,-1.2847,12.601,3.8452554070764826,-1.1333624741934032,0.749293992957061,-0.24091435730247893,0.29249014646305627,-0.5431098404429967,1.163,-3.8675,7.7072,0.23369173026715373,-3.8452554070764826
3.4969,0.9622692332904055,0.2554901413528968,-0.09197897085884715,-0.017394805371707345,4.1244,-1.2441,6.7336,3.3954548642669895,-1.0671843671181822,0.749293992957061,-0.24091435730247893,0.29249014646305627,-0.5431098404429967,0.8249,-4.0027,7.7072,0.24532539318733937,-3.3954548642669895
3.517,0.9713240821784439,0.218203489560439,-0.08111692549156309,-0.04834055153437257,4.1379,-1.3387,14.3651,1.8703317293610056,-1.1956949558486036,0.749293992957061,-0.24091435730247893,0.29249014646305627,-0.5431098404429967,0.3922,-4.0433,7.7072,1.0758395054222905,-1.8703317293610056
3.5371,0.9713240821784439,0.218203489560439,-0.08111692549156309,-0.04834055153437257,4.1379,-1.3387,14.3651,2.1814156179050546,-1.1658031156249038,0.749293992957061,-0.24091435730247893,0.29249014646305627,-0.5431098404429967,0.1082,-4.0027,7.7072,1.3950759438384783,-2.1814156179050546
3.5572,0.9623721887813057,0.24280586890896622,-0.10370236081018325,-0.06427208294458464,4.0027,-1.3252,2.9827,1.4783412149598112,-1.239813569063075,0.749293992957061,-0.24091435730247893,0.29249014646305627,-0.5431098404429967,0.4868,-3.9216,7.7072,1.0757720941571982,-1.4783412149598112
3.5773,0.9623721887813057,0.24280586890896622,-0.10370236081018325,-0.06427208294458464,4.0027,-1.3252,2.9827,1.4783412149598112,-1.239813569063075,0.749293992957061,-0.24091435730247893,0.29249014646305627,-0.5431098404429967,0.4868,-3.9216,7.7072,1.0757720941571982,-1.4783412149598112
3.5974,0.9412347677652412,0.3107948857056479,-0.13073863455666113,-0.019775247239557148,3.6647,-1.217,3.344,4.790511520993512,-1.3101128451043824,0.749293992957061,-0.24091435730247893,0.29249014646305627,-0.5431098404429967,1.4199,-3.3807,7.7072,0.45804091457976837,-4.790511520993512
3.6177,0.9175424195784814,0.3666991676860673,-0.152832069887829,0.017029007787111698,3.597,-1.3523,6.1839,3.250466340798731,-1.1996412300324777,0.749293992957061,-0.24091435730247893,0.29249014646305627,-0.5431098404429967,1.0548,-3.2725,7.7072,0.7040329536841572,-3.250466340798731
3.6378,0.8856926233859146,0.4260915918124142,-0.1735252772587354,0.06231781782779576,3.5024,-1.163,10.7614,4.984612896152035,-1.228088971155082,0.749293992957061,-0.24091435730247893,0.29249014646305627,-0.5431098404429967,1.0548,-3.2725,7.7072,0.3959402059617021,-4.984612896152035
3.6579,0.876662735456392,0.4451364821125108,-0.1686428346467064,0.0698251736620708,3.5565,-1.2306,3.1657,3.3670807137754455,-1.2317083943300138,0.749293992957061,-0.24091435730247893,0.29249014646305627,-0.5431098404429967,0.5815,-3.1778,7.7072,1.2544698079885408,-3.3670807137754455
3.678,0.876662735456392,0.4451364821125108,-0.1686428346467064,0.0698251736620708,3.5565,-1.2306,3.1657,3.21265648572936,-1.2540882789534677,0.749293992957061,-0.24091435730247893,0.29249014646305627,-0.5431098404429967,0.3245,-3.2184,7.7072,1.424036197829301,-3.21265648572936
3.6981,0.8921582962703384,0.4230384597032595,-0.14105315356427744,0.07208358951573768,3.5835,-1.2035,5.0122,2.8339356916081346,-1.2260449117946621,0.749293992957061,-0.24091435730247893,0.29249014646305627,-0.5431098404429967,0.4868,-3.3131,8.2433,1.2327115114052951,-2.8339356916081346
3.7181,0.907903905946374,0.39465556724814277,-0.129578842914864,0.056274366066701484,3.6106,-1.19,4.8601,4.619338215121106,-1.1956585350401023,0.749293992957061,-0.24091435730247893,0.29249014646305627,-0.5431098404429967,1.1359,-3.3672,15.5158,0.3081709494713003,-4.619338215121106
3.7382,0.9119323875333157,0.38647770704195095,-0.12530587769167906,0.05755640314769794,3.57,-1.1765,4.3293,4.680762985366481,-1.2045828502707958,0.749293992957061,-0.24091435730247893,0.29249014646305627,-0.5431098404429967,1.19,-3.4483,7.754,0.21786721666692976,-4.680762985366481
3.7583,0.9019910408056315,0.40485185326692746,-0.13720898373997836,0.06066987715292044,3.6511,-1.1224,6.5317,4.973703880924905,-1.2474168107514672,0.749293992957061,-0.24091435730247893,0.29249014646305627,-0.5431098404429967,1.19,-3.4483,7.754,0.4409152231231208,-4.973703880924905
3.7784,0.8925805148678877,0.42199818899043445,-0.1455084099735783,0.06359917919227542,3.7052,-1.163,8.3306,3.077040375151146,-1.1726550962145414,0.749293992957061,-0.24091435730247893,0.29249014646305627,-0.5431098404429967,0.4868,-3.5024,9.0223,0.9771154268138615,-3.077040375151146
