Time,F_Q0,F_Q1,F_Q2,F_Q3,F_M1,F_M2,F_ACC,Cmd_F1,Cmd_F2,B_Q0,B_Q1,B_Q2,B_Q3,B_M1,B_M2,B_ACC,Cmd_B1,Cmd_B2
5.1228,0.07678287793583853,0.9242045673599846,0.3530920372562497,-0.12359741321348622,0.0135,0.027,1.3169,2.361092293108353,0.2600194105092839,0.9999997730190773,6.099998615416365e-05,0.000670999847695801,4.108689078545121e-20,0.0,0.0,9.7621,1.2808916533415973,-2.361092293108353
5.1429,0.09094198774211219,0.9218138757505596,0.35497995215296557,-0.1264039829622611,0.0135,0.027,0.6791,4.940170147104576,-1.5532535749488672,0.0751360819245723,-0.914332334977639,0.36646515427994153,0.1550942974642894,0.0,0.027,1.6281,1.570794454259755,-4.940170147104576
5.163,0.10363791158042068,0.9195552154735265,0.35687269553097795,-0.1277468910116367,0.1893,0.1893,0.9867,4.551225123857455,-1.4890101711818047,0.08520436216227667,-0.9127131674520647,0.3685272412142926,0.15453984311860108,0.3516,-0.2164,2.1314,1.526760198753407,-4.551225123857455
5.1831,0.11224671838701362,0.9167702023079893,0.36042172868054195,-0.13049616035134678,0.7978,-0.0676,3.6097,-2.339529863700904,-1.4692628837137323,0.10864525462374268,-0.910601896956559,0.36994167708899406,0.14880708806854934,1.4064,-1.0953,5.8281,1.5613854333076942,2.339529863700904
5.2032,0.12542843894224523,0.9143784899482793,0.361393145980523,-0.13256952086628526,1.501,-0.0947,5.0681,-3.730229318406758,-1.4465178547376933,0.12866629000004212,-0.9041441460345563,0.37775959528567793,0.1525320857349989,1.758,-1.6227,14.7857,1.565274220662725,3.730229318406758
5.2233,0.1343979038579213,0.9184495091751788,0.352719123241793,-0.11822403577111995,1.7309,-0.1758,9.3501,-1.9998435626315674,-1.4930792836709588,0.12896575508377656,-0.8964753462554321,0.39526018452343487,0.1531965211823521,1.6362,-1.3387,3.9514,1.5659436519757977,1.9998435626315674
5.2434,0.14428742245954626,0.9224267007757074,0.337463988061751,-0.12011735169192869,1.3523,-0.2705,16.6478,-0.842360682400721,-1.5324312650560814,0.1178620986674833,-0.8844832536118774,0.4229241189367069,0.15790215134523697,1.501,-0.8249,15.7608,1.5664125347752198,0.842360682400721
5.2635,0.15630993662821235,0.9288266812200827,0.30682191269977577,-0.1367790694961128,0.8655,-0.3786,4.7007,-0.5551305977033509,-1.5619519688147434,0.12286591027719766,-0.8662854687105142,0.4437328990075189,0.1937900129809164,1.501,-0.5274,10.7386,1.5694721635696118,0.5551305977033509
5.2835,0.14252040266314156,0.9413064736162879,0.2921819758211539,-0.09088316982836409,0.622,-0.5815,16.5662,1.8459337199888424,-1.5676646053975585,0.13684385286376002,-0.846025637590809,0.44172020879929463,0.26532553139638565,1.5822,-0.3245,1.6606,1.570580798000114,-1.8459337199888424
5.3036,0.10901168225857302,0.9497303683433718,0.2927932042469758,-0.02002049260901972,0.4327,-0.7978,7.6801,3.830027202292058,-1.566781611451602,0.14215091039129274,-0.835631473236887,0.43804872386402754,0.2993768112796537,1.6362,-0.3245,12.3768,1.5707636510566783,-3.830027202292058
5.3237,0.06543086818099217,0.9539306573968471,0.29101986144825964,0.032288428424696244,0.4462,-1.0277,8.5748,5.342143146344904,-1.5474753060093438,0.17810508897119198,-0.7947572461910724,0.4160255511953296,0.40442828494304073,1.5551,-0.3651,23.2508,1.5705985870839583,-5.342143146344904
5.3438,0.0361337606187343,0.9549761023281776,0.2864440296711877,0.06829943770897284,0.4462,-1.2982,18.4864,5.830425035325497,-1.526916742691233,0.21209442104031098,-0.7527988463510299,0.4259588205585885,0.45482846951842215,1.5145,-0.4733,2.6282,1.5704468181107427,-5.830425035325497
5.3639,0.032166393845662625,0.9585077359787433,0.2668492673052197,0.09497216284015501,0.5274,-1.501,5.2959,6.013973925947825,-1.5197843499641615,0.21209442104031098,-0.7527988463510299,0.4259588205585885,0.45482846951842215,1.5145,-0.4733,2.6282,1.5704133933584674,-6.013973925947825
5.384,0.053344083846405155,0.9592125260831073,0.2330279978797542,0.15087640878548622,0.6356,-1.5416,5.4476,6.055845684246057,-1.3608913168029773,0.28307651064694567,-0.6589255500003738,0.4923021925053175,0.49327817702703197,1.5957,-0.6761,9.6631,1.570126989108581,-6.055845684246057
5.4041,0.09979267394421559,0.9553894521689766,0.18878327493723873,0.20404237798873348,0.8519,-1.6362,17.7329,6.209490563166266,-0.9834878511537709,0.31280374757368207,-0.5946636190426983,0.5488258025714702,0.4973120088261317,1.6498,-0.7978,14.5118,1.5677336083175213,-6.209490563166266
5.4242,0.18267356134980026,0.9433970770898988,0.16308203738979823,0.22368856475646887,1.0683,-1.5145,19.2283,6.245457094642383,-0.8367152698294846,0.33929610194094245,-0.5553014400950255,0.5958286911615356,0.4706449156474594,1.5686,-1.0412,23.7649,1.5364489764556022,-6.245457094642383
5.4443,0.2794792473362909,0.9291964975870696,0.16021656852182115,0.18115151214206301,1.3523,-1.3793,7.4418,6.255147463999448,-0.8862903568194189,0.3781795640701674,-0.5406569545631694,0.6425264533460041,0.3896537328870114,1.5145,-1.3252,8.3123,1.4921984431404152,-6.255147463999448
5.4644,0.39244695600752244,0.8962803450998287,0.1513025132133902,0.14062175935278823,1.6768,-1.217,8.4002,6.094328902952299,-1.1582288046044473,0.42052385733577025,-0.5247698388057641,0.6848007401042921,0.28075656367007884,1.5145,-1.7174,13.2029,1.5225269585591037,-6.094328902952299
5.4845,0.5020177784025833,0.8435123486381844,0.15332115396121254,0.11383185674770915,2.1095,-1.0412,8.9803,5.653204189960226,-1.4438064238528563,0.46900103253771847,-0.5023265322441529,0.712595685170578,0.14111511598121748,1.5145,-2.1907,13.0482,1.5185654232138268,-5.653204189960226
5.5045,0.6204148619788488,0.7621372314291428,0.17352100359941441,0.06420826126862028,2.691,-1.0548,14.841,4.904579995191893,-1.4429347587445058,0.5219160024863528,-0.4771156589200264,0.7066704193370117,-0.02410918488929821,1.5145,-2.7586,15.1327,1.3213950565852048,-4.904579995191893
5.5246,0.724489719959035,0.6558864624011357,0.21148779399075002,0.014160053161229924,3.2184,-1.0548,13.7301,3.6022842352890585,-1.4199194293207968,0.5756178342540348,-0.44640699382612925,0.6563051101451814,-0.19659223572952725,1.5145,-3.3266,34.337,0.6245054967720751,-3.6022842352890585
5.5447,0.8080362698545714,0.5234329925352296,0.26922342445196906,-0.024779762942360006,3.6511,-1.1224,10.9877,5.6099767162195775,-1.282022196433255,0.6276431776246463,-0.41505102059056853,0.5603802295741204,-0.3460790230430332,1.4064,-3.7864,21.9575,-0.8328664610997237,-5.6099767162195775
5.5648,0.8594333595278415,0.39672778111705936,0.3192740190814112,-0.045226861047670375,3.9216,-1.2441,7.537,5.371652053132175,-1.4237040100952056,0.6608258061597674,-0.3951406881935736,0.4683824450421843,-0.43334856134929994,1.0007,-3.9892,9.8368,0.4661254446128944,-5.371652053132175
5.5849,0.886557266622861,0.2944410630147398,0.35279146271670053,-0.05346828259035674,4.165,-1.19,14.7867,6.124331410002858,-1.2588729807469314,0.6611998788355852,-0.40014955779475325,0.42047473850923833,-0.4752852258381894,0.2028,-4.1785,4.9886,-0.34048421169980303,-6.124331410002858
5.6049,0.9033432787764704,0.22980292192467405,0.35529515580677623,-0.07019180881339993,4.4084,-1.4199,7.5536,6.154501696202093,-0.7773533311093208,0.6500301348024269,-0.4150429170588539,0.39587773618324223,-0.49847870450245674,-0.2164,-4.2867,11.5122,-0.38732212044670544,-6.154501696202093
5.625,0.9063580839219728,0.15337864504865112,0.38665206340564606,-0.07409586234390109,4.5436,-1.4334,11.2228,6.174908209666718,-0.5289388401058011,0.6363028665464008,-0.42908432774438476,0.37280936670129106,-0.5215539069058587,-0.2569,-4.4084,12.2325,-0.9446385518273738,-6.174908209666718
5.6451,0.9019359450054245,0.07891965769348844,0.4180387808308499,-0.07434256155239144,4.7194,-1.474,2.9749,6.217840571869074,-0.0005870396754159568,0.6377697836317435,-0.4223111270881851,0.30884467482432215,-0.565259216516179,-0.4327,-4.5842,15.0693,-1.4025236714833722,-6.217840571869074
5.6652,0.8909700627181607,0.00012199713313776339,0.44902544816133044,-0.06744241514219962,4.8411,-1.5145,12.7473,6.252862596619837,0.8732824169522253,0.6547315689125531,-0.39911361388481287,0.2513459056414426,-0.5906438280371633,-0.906,-4.7194,32.1334,-1.5151801605583348,-6.252862596619837
5.6853,0.881039700534756,-0.046081879728824104,0.4686267769098428,-0.04510488227873366,4.9628,-1.4469,11.1596,6.279288936057233,1.3829439759104605,0.6819922199569065,-0.36937699491175596,0.22466513108768418,-0.5898922159357293,-1.4334,-4.8141,14.1125,-1.5674831567423508,-6.279288936057233
5.7054,0.8837159147456676,-0.044372393185470656,0.46532563644065933,-0.023437679478084842,5.0575,-1.3252,13.0177,6.281938198775373,1.4112664444321013,0.7167396845947382,-0.3375257351425831,0.20849707183574506,-0.5734889481754762,-1.7039,-4.9764,1.3617,-1.5699481620025713,-6.281938198775373
5.7254,0.8848954445553698,-0.042114354304731094,0.46374890148282044,0.01110809345151137,5.1657,-1.19,4.6736,6.281674920334483,1.2416330178332764,0.7604214374052896,-0.2922910180452213,0.17785236011813624,-0.5519907030965019,-1.6362,-5.1657,7.1569,-1.5701990817115272,-6.281674920334483
5.7455,0.8784146340634351,-0.055480787406990174,0.47088419565126705,0.059813770803729245,5.3009,-1.0412,2.2192,6.280241681937207,0.7512679335078065,0.8032202943847063,-0.23840219695177695,0.14691150513449683,-0.5257552290146323,-1.501,-5.3279,2.3063,-1.5691555178771905,-6.280241681937207
5.7656,0.8701601644446338,-0.07031055885397142,0.4741112822050825,0.1144386543663577,5.4091,-0.8655,2.8156,6.27703253121177,0.2298978102237268,0.8451595141238996,-0.1749891416919437,0.12219279722964993,-0.4900541972894065,-1.501,-5.5037,7.4163,-1.5639991178581467,-6.27703253121177
5.7857,0.8630701911285135,-0.08160137073293096,0.46519501101253363,0.17901023213477738,5.6254,-0.7708,7.2711,6.2731661206516804,0.2851542156462352,0.8769514982542923,-0.11840779723120198,0.11895779628934976,-0.45031622885078015,-1.5551,-5.639,11.8367,-1.562845448957492,-6.2731661206516804
5.8058,0.8576463961234309,-0.08184612918071912,0.44646179488288024,0.24169347542824027,5.7742,-0.4733,7.5766,6.272438453495708,0.340599021510664,0.9006641511942983,-0.07031427581514546,0.13715043905654706,-0.40626314924767937,-1.5416,-5.8012,10.6199,-1.5617638726597836,-6.272438453495708
5.8258,0.85528932114064,-0.07946830858029297,0.4172986203960145,0.2966931520776194,5.8824,-0.1893,3.4013,6.276135961386039,0.4937111173697484,0.9138021045812521,-0.03350741714467065,0.1861537618897113,-0.35942974778595616,-1.5281,-5.8688,9.2283,-1.5635880963945958,-6.276135961386039
5.8461,0.8711398571131395,-0.046874185193425344,0.3334902029923533,0.35735478815802996,6.0041,0.2028,14.4177,6.277248621767095,0.7642172630250723,0.902628909374831,0.025145440315271467,0.2871636083407506,-0.31963388562052397,-1.6092,-5.9635,97.265,-1.5673763286125304,-6.277248621767095
5.8662,0.8916524194926981,0.003722955822739432,0.2718477742056242,0.36199570449413815,6.0311,0.3245,68.8933,6.275670074642843,0.8333227042869411,0.902628909374831,0.025145440315271467,0.2871636083407506,-0.31963388562052397,-1.6092,-5.9635,97.265,-1.5688767910213839,-6.275670074642843
5.8862,0.894106227116328,0.03875709653949371,0.2696536716764483,0.35546988543481955,6.0311,0.2705,100.5017,6.276073418712313,0.8832927089382094,0.8902758024922492,0.043579822497508774,0.3131769106993585,-0.3277651860290737,-1.6227,-6.0176,55.6764,-1.5690055278123594,-6.276073418712313
5.9063,0.8862293746971571,0.06683295284422225,0.3024287866132793,0.3444817569416812,6.0311,0.2164,76.314,6.276736296152391,0.8230948237175184,0.886538371993326,0.036926098798272716,0.30224680868176235,-0.3483289319775974,-1.5551,-6.0717,81.0738,-1.5687620046172124,-6.276736296152391
5.9266,0.8800620427584381,0.09338358009621317,0.32024955998235655,0.33795048038931136,6.1123,0.2975,54.5158,6.2773302642992626,0.7444650133388753,0.8809242067869538,0.02703912912331699,0.3170185138979472,-0.3503436730397254,-1.5145,-6.1393,73.2292,-1.5687100417670368,-6.2773302642992626
5.9469,0.8831400994771473,0.10974374620007923,0.30280257725602105,0.3410725349138776,6.0041,0.311,39.5778,6.276269660395139,0.751561827898259,0.8759989362240246,-0.00018300458268774578,0.3428425852521554,-0.3392414950758804,-1.5686,-6.1123,60.2871,-1.5684911424089998,-6.276269660395139
5.9672,0.89255063610134,0.12243324643038454,0.26305393526850396,0.3452044166915653,6.0041,0.284,42.4501,6.275949456885948,0.7791457217467284,0.8765761221755062,0.0067139166840100295,0.338496799442076,-0.34203675551318047,-1.6362,-6.0717,56.437,-1.5689659236941176,-6.275949456885948
5.9874,0.9011816488318607,0.13055365938764418,0.2239984155918081,0.34735009376930315,6.0176,0.311,24.6868,6.2759517039281185,0.7831378730415679,0.882658072533881,0.026184862463421305,0.31208327923721724,-0.350475543781718,-1.6903,-6.0717,36.3796,-1.5695421027571452,-6.2759517039281185
6.0078,0.9087658721765487,0.12970197988152804,0.1874418612722724,0.34955333587994114,6.0582,0.3245,19.6101,6.275237519025165,0.7441212158869028,0.8939739860736169,0.005919946931320502,0.2904633961744858,-0.34118394149602466,-1.7039,-6.0446,18.6357,-1.5696064243392545,-6.275237519025165
6.0281,0.9176682200552168,0.12597757932957596,0.1441046626900881,0.348207601292572,6.1258,0.3651,18.0882,6.275239766067335,0.6736044917022928,0.904278068585645,-0.05090193434813468,0.27709419892478054,-0.32079428404644,-1.7174,-6.0311,11.2484,-1.569612135571436,-6.275239766067335
6.0486,0.9238272609366392,0.12206990234387304,0.11297590961908253,0.34478772416924147,6.1799,0.3651,20.4963,6.274454424829006,0.6407341034558267,0.9061226660725232,-0.07684254766325614,0.27245939615681863,-0.31432914968883235,-1.7174,-6.0311,9.0672,-1.5695978106776038,-6.274454424829006
6.0688,0.9273169461206059,0.11651724972871823,0.09985507101523766,0.3413736614704637,6.1934,0.3516,16.49,6.2739705617484525,0.6238699115316848,0.9088603187688906,-0.08941555563015585,0.2638507378998934,-0.310419985645807,-1.7174,-6.0311,7.4916,-1.5695481884963551,-6.2739705617484525
6.0892,0.9284145276653988,0.11224503099212521,0.0995489143758605,0.33990812212125665,6.1663,0.3381,13.4625,6.27361590359266,0.6235085122493826,0.9117260975252378,-0.08752237742411947,0.2577462216471392,-0.3076722960684866,-1.7174,-6.0311,7.259,-1.5695061500824292,-6.27361590359266
