Time,F_Q0,F_Q1,F_Q2,F_Q3,F_M1,F_M2,F_ACC,Cmd_F1,Cmd_F2,B_Q0,B_Q1,B_Q2,B_Q3,B_M1,B_M2,B_ACC,Cmd_B1,Cmd_B2
1.3292,0.06128025048875654,0.956440517187079,0.285283821520121,0.008911181842153256,0.027,0.027,1.9349,-0.19702718791036755,-1.5474404768557126,0.9998168847321178,-0.017333998001580822,-0.007201999169688771,0.0037229995707792614,0.0,0.0,10.3027,0.7263617180982491,0.19702718791036755
1.3493,0.056703041600269316,0.9556445546072547,0.2887623043873051,0.01202422087759935,0.027,-0.0406,1.064,-0.6875977127475457,-1.5706705860601473,0.0640274161946383,0.9520470579157956,-0.29871260709454944,-0.016663368569819457,0.0,0.0406,1.1366,1.5707636510566783,0.6875977127475457
1.3694,0.05352715571870967,0.9556729262162269,0.28918043877064464,0.014098777620648775,-0.0135,-0.0947,5.914,0.223112538698504,-1.5669384362696996,0.06323178003937226,0.9516566895285459,-0.2994369583664843,-0.026244908703399034,0.4192,0.1352,5.3656,-1.5232636138837548,-0.223112538698504
1.3895,0.03881765314082032,0.9559854576924462,0.2896094121649559,0.026671761671697658,-0.0811,-0.1893,5.9312,1.911826171828233,-1.3341098510760028,0.05883974116840032,0.9518101656878611,-0.2981658232357783,-0.04113921737968073,1.1765,0.2028,1.7661,-1.5664283576971654,-1.911826171828233
1.4096,0.02752766436532101,0.9533310081293074,0.29584414003863396,0.05365129484504203,-0.0135,-0.311,4.6398,1.3991016135123502,-1.2516581028468785,0.05621221554278566,0.95286770246429,-0.286556001030734,-0.08227385184535058,1.2576,0.0811,3.2299,-1.562362709398023,-1.3991016135123502
1.4296,0.026916846129118016,0.9501285685642316,0.29888729140268094,0.08483851501832462,0.0811,-0.4733,11.4097,2.483069419476699,-1.5682740219593474,0.045898526693618685,0.9502059037788797,-0.28497627015252514,-0.11743334756819539,0.3381,-0.0406,3.4206,-0.6606670527831752,-2.483069419476699
1.4497,0.0227044860587265,0.9493805097171129,0.29180239472851455,0.11407241784405307,0.1217,-0.6491,2.6924,2.8078136391312256,-1.0130026564267374,0.01361127613167006,0.9421581135416576,-0.29694202405654097,-0.1548491414212463,-0.9195,-0.2164,4.0138,-0.572957272690204,-2.8078136391312256
1.4698,0.0029909161250682714,0.950046357636908,0.2748332927883285,0.14788385285994557,0.3381,-0.8114,6.689,2.2632246184468716,-0.15002180430175116,0.038879405153311446,-0.9260956506291215,0.32416137801093486,0.18908897045253759,-1.1224,-0.4733,6.8582,-1.063427499863867,-2.2632246184468716
1.4899,0.005981187617573048,-0.9522388697778977,-0.24451466992307844,-0.18280573424048682,0.5003,-0.9466,5.1609,2.2794662392498566,-1.1899742673646803,0.10619937523170767,-0.8954333005631488,0.37536025727841704,0.2145357177694687,-0.7573,-0.7708,4.6205,-0.6211820745896302,-2.2794662392498566
1.51,0.002991008183943489,-0.9571556189522087,-0.1973885400910186,-0.2118535796700029,0.6626,-0.9872,6.6554,3.123529243347681,-1.360775781384749,0.1850586827439014,-0.8487535449359395,0.44470123762464087,0.21820062592687756,-0.6085,-1.0007,12.5502,0.088472305660936,-3.123529243347681
1.53,0.01782155115764282,0.9618287759865458,0.13818051987250124,0.23552906811330948,0.8925,-1.2847,7.9173,3.3286963649246726,-1.355402916303352,0.1850586827439014,-0.8487535449359395,0.44470123762464087,0.21820062592687756,-0.6085,-1.0007,12.5502,0.30024532745161614,-3.3286963649246726
1.5501,0.06347620939899185,0.9655029745871355,0.07824602543981174,0.24010900942405483,1.1359,-1.4064,5.7943,4.835215301439689,-1.336971459279185,0.27642426839914996,-0.7692156159419616,0.5490035887033357,0.17461964271490724,-0.5003,-1.3252,8.0475,0.829522394217344,-4.835215301439689
1.5702,0.12561234668609345,0.9618099685049851,0.02136239909169924,0.2422535257731028,1.3928,-1.4469,6.3003,4.536326485257927,-1.4576361257668808,0.29754627587581095,-0.7412116872288175,0.5816045392459489,0.15429714305959422,0.0811,-1.6092,2.7636,1.4670575054508754,-4.536326485257927
1.5903,0.20299577434988383,0.9504051702552633,-0.046141357594846666,0.2310707750180874,1.6633,-1.4605,18.691,5.47496693252017,-1.4526882325358388,0.35449048743450157,-0.6490452306071459,0.6707121381572266,0.056762757800584006,0.7437,-1.8932,9.98,1.5259317892068238,-5.47496693252017
1.6104,0.30213082984551665,0.9280609793655366,-0.09491214554500116,0.19598843043400638,2.0149,-1.5281,21.5613,5.981635244054777,-0.9794854945424102,0.3938673024373936,-0.5896109315926656,0.7041760556700917,-0.03692668463363415,1.4334,-2.2312,14.8648,1.5631357855311756,-5.981635244054777
1.6305,0.4196720586821898,0.8878044313093509,-0.11712434186497755,0.14819090205416954,2.3935,-1.474,12.2833,5.739581239979641,-0.6642987410632836,0.47095367621151757,-0.5156323095731874,0.6793916310156627,-0.225284193615432,1.8661,-2.691,4.8645,1.5701312959394063,-5.739581239979641
1.6505,0.5360162767344903,0.8311851824819703,-0.11444212660891606,0.09338491931429321,2.7992,-1.2035,12.7852,5.748619592600448,0.19693854677810885,0.5289312966229031,-0.46643126157309245,0.6102293422145753,-0.3609622024263965,1.7174,-3.2049,6.8155,1.5653865727712128,-5.748619592600448
1.6706,0.6571878268691247,0.747705833200948,-0.08612386039112772,0.04028433794470331,3.259,-1.1224,12.1106,5.7635137371156375,0.8785549141500395,0.5845878664914116,-0.4107009883683948,0.4990779099376486,-0.49041101569653955,1.501,-3.6782,18.9373,1.5260237306822697,-5.7635137371156375
1.6907,0.7663689866062791,0.6413670314785971,-0.03637756897343736,0.0018920295928125386,3.6917,-1.0818,13.4807,5.41173104628597,1.1107430923253565,0.6307999339321109,-0.3659071218129464,0.36389311563832427,-0.5794697765620253,1.4605,-4.165,9.6358,1.3733876800695235,-5.41173104628597
